Distance (µm),Fe Wt%,Cr Wt%,Ni Wt%,Mn Wt%,Pb Wt%
0.066231233,82.88808,12.22272,1.944747,0,2.944462
0.066453486,88.32129,6.253896,2.536226,2.888587,0
0.066675738,92.99934,7.000661,0,0,0
0.06689799,90.44012,7.598041,0,1.961846,0
0.067120243,90.62011,8.270441,1.109449,0,0
0.067342495,88.31443,11.56753,0,0.118039,0
0.067564748,86.41103,11.57521,1.12074,0,0.893017
0.067787,96.09467,1.388769,0.588844,1.872479,0.055241
0.068009253,91.63934,6.465194,0.331967,0.065745,1.497752
0.068231505,86.78787,9.570442,2.206698,1.434984,0
0.068453758,85.82646,11.33817,0.437733,0.194991,2.20264
0.06867601,87.8119,12.1881,0,0,0
0.068898263,87.03329,11.73961,0,1.227094,0
0.069120515,89.61497,6.625457,0.76611,1.47426,1.519202
0.069342768,86.86318,9.147232,2.994043,0.005356,0.990184
0.06956502,89.78756,8.57448,0.352105,1.285852,0
0.069787272,89.77518,6.846547,0,1.303714,2.074563
0.070009525,90.14538,7.144418,0,1.139362,1.57084
0.070231777,88.49892,10.4369,0,0,1.064178
0.07045403,85.52959,11.67081,0.854773,1.944824,0
0.070676282,92.52882,6.399364,0,1.071815,0
0.070898535,87.60358,6.190073,0.192471,0,6.013871
0.071120787,89.88541,7.009663,0.858184,0,2.246743
0.07134304,78.85976,11.35136,1.844624,2.023073,5.921184
0.071565292,87.04317,9.372435,0,1.16531,2.41909
0.071787545,86.96349,8.614546,2.065938,2.356023,0
0.072009797,89.52623,9.106598,0,0.858342,0.508828
0.07223205,92.92799,7.072017,0,0,0
0.072454302,91.37978,8.480834,0,0.139391,0
0.072676554,86.43584,10.45291,0,0,3.111245
0.072898807,93.82176,4.312139,1.064048,0.80205,0
0.073121059,90.58518,5.670635,0,2.58184,1.162346
0.073343312,90.24628,5.643218,3.623071,0.470778,0.016657
0.073565564,92.00833,7.909735,0,0,0.081935
0.073787817,87.70977,9.420225,0,1.485768,1.384234
0.074010069,93.33012,6.669874,0,0,0
0.074232322,88.0032,7.274667,2.493061,2.229073,0
0.074454574,81.80871,8.25257,3.416349,0,6.52237
0.074676827,88.07722,6.021561,3.899067,2.002144,0
0.074899079,89.6484,5.879768,0,0,4.471833
0.075121332,91.38313,6.723341,0,0,1.893529
0.075343584,87.28573,10.63866,0,0.309926,1.765686
0.075565836,91.46944,6.680046,1.850507,0,0
0.075788089,89.38607,10.37095,0.147194,0.095782,0
0.076010341,87.07418,7.480422,0,0,5.4454
0.076232594,91.24188,7.435553,0.618549,0.704017,0
0.076454846,92.29012,5.740419,0.627267,1.342201,0
0.076677099,89.10825,9.42791,0,0,1.463843
0.076899351,92.49222,5.166967,1.836496,0.074552,0.429763
0.077121604,88.49272,6.741212,1.925994,2.840074,0
0.077343856,88.59444,4.595145,2.01878,1.951818,2.839809
0.077566109,88.90269,10.03429,0,0,1.063022
0.077788361,95.55225,3.305144,0,0,1.142604
0.078010614,90.09889,9.901109,0,0,0
0.078232866,84.81044,14.12875,0,1.060812,0
0.078455118,90.71148,8.450642,0,0.579307,0.258576
0.078677371,88.41662,9.123305,0,0,2.460075
0.078899623,89.37492,8.488162,0,0.998905,1.138009
0.079121876,92.31102,5.985733,0.487877,0,1.215367
0.079344128,87.25823,10.1678,0.256666,0.198983,2.118318
0.079566381,91.15052,7.703807,1.145671,0,0
0.079788633,90.14669,8.844497,0,0.095914,0.912897
0.080010886,89.18958,9.95905,0.851374,0,0
0.080233138,87.83707,7.805877,0,2.736885,1.62017
0.080455391,94.19459,3.209222,0,0.526673,2.069515
0.080677643,90.55924,9.440757,0,0,0
0.080899895,87.58284,11.37206,0,0,1.045102
0.081122148,89.67419,9.463285,0,0,0.862526
0.0813444,87.02463,10.995,0,0,1.980374
0.081566653,91.43263,8.427341,0.140024,0,0
0.081788905,88.56107,5.921881,0,1.133298,4.383756
0.082011158,85.79716,9.081333,0,0,5.121499
0.08223341,86.61491,8.297572,0,0,5.087523
0.082455663,91.33455,6.160694,2.504754,0,0
0.082677915,83.04685,11.73351,2.67902,2.540617,0
0.082900168,83.31917,15.30093,0.479844,0,0.90006
0.08312242,87.8806,7.909724,0.496518,0.940165,2.772995
0.083344673,92.45466,4.219695,2.294845,0,1.030803
0.083566925,89.98124,3.980859,0,1.831423,4.206483
0.083789177,93.16173,6.278072,0.560203,0,0
0.08401143,90.40472,9.315945,0.279341,0,0
0.084233682,91.01215,7.499714,0.913403,0.302812,0.271921
0.084455935,89.95281,6.802656,0,3.24453,0
0.084678187,88.70049,9.54119,0.158346,0.133406,1.466561
