Distance (µm),Fe ,Cr ,Ni ,Mn,Pb 
0.050587148,89.51128,7.644656,0.291492,0,2.552579
0.050869758,88.77698,9.836505,0,1.386517,0
0.051152367,93.48897,6.511032,0,0,0
0.051434977,90.83363,7.630047,0.165865,1.370459,0
0.051717587,90.77998,7.451171,0,1.029309,0.739536
0.052000197,87.73919,8.721978,2.111761,1.230659,0.19641
0.052282807,91.25749,8.742504,0,0,0
0.052565416,87.28024,12.54826,0.171506,0,0
0.052848026,90.46967,9.330916,0,0.199415,0
0.053130636,87.14236,6.666536,2.277897,1.843713,2.069497
0.053413246,90.78387,5.34045,2.307271,1.046033,0.522378
0.053695855,93.62199,5.431455,0,0.946548,0
0.053978465,92.09883,7.901172,0,0,0
0.054261075,90.759,8.916108,0,0,0.324888
0.054543685,92.58406,5.630543,0,1.425014,0.360385
0.054826294,86.09055,10.93059,0.599619,0,2.379241
0.055108904,92.25031,3.907356,0,2.330988,1.511342
0.055391514,92.36071,5.182915,1.070247,1.386125,0
0.055674124,86.32558,11.67561,1.615024,0.383783,0
0.055956733,90.69166,8.080712,0,1.22763,0
0.056239343,92.39002,7.609974,0,0,0
0.056521953,91.27883,7.3311,0,0.443788,0.946281
0.056804563,88.65492,8.907417,1.119838,1.31782,0
0.057087173,94.01476,5.449944,0,0.535302,0
0.057369782,91.55106,7.427383,0,1.021558,0
0.057652392,87.31696,12.4574,0.225643,0,0
0.057935002,88.22781,10.279,1.493199,0,0
0.058217612,88.53268,7.48423,1.115641,0.769414,2.098038
0.058500221,92.23782,7.142642,0,0.076518,0.543027
0.058782831,92.82213,7.17787,0,0,0
0.059065441,94.19839,5.213194,0,0.588419,0
0.059348051,89.32336,8.060293,2.087299,0.529048,0
0.05963066,89.92,8.184542,0,1.823424,0.072039
0.05991327,88.72275,8.4747,2.80255,0,0
0.06019588,92.76118,6.172851,0.036167,1.029795,0
0.06047849,91.90441,7.783725,0.311867,0,0
0.060761099,88.62622,9.978989,0,0.691245,0.703543
0.061043709,91.88259,6.465914,0,0,1.651492
0.061326319,92.47427,7.109865,0,0.415867,0
0.061608929,94.40526,5.594744,0,0,0
0.061891539,88.94339,8.41276,0,2.643854,0
0.062174148,86.79118,9.477361,0.697324,2.066385,0.967746
0.062456758,92.97723,7.022772,0,0,0
0.062739368,88.21207,6.773961,3.069703,0.259981,1.684291
0.063021978,92.31616,7.683838,0,0,0
0.063304587,91.73452,8.265477,0,0,0
0.063587197,88.77505,8.9002,0.980528,1.344226,0
0.063869807,89.73604,6.642439,1.102371,1.875242,0.643909
0.064152417,90.491,8.188991,0,0,1.320002
0.064435026,87.41443,5.897444,1.080852,1.222902,4.384374
0.064717636,89.73212,10.26787,0,0,0
0.065000246,95.0513,4.225028,0.723676,0,0
0.065282856,90.26665,7.156127,0,0,2.577217
0.065565465,90.85303,8.497334,0,0,0.649639
0.065848075,85.95826,11.96738,0.26558,0,1.808783
0.066130685,89.66088,9.639584,0.699534,0,0
0.066413295,90.99438,6.910863,1.827253,0,0.267497
0.066695905,90.09008,7.679635,0.755267,0.162197,1.312821
0.066978514,89.48099,8.598016,0,0.586295,1.334706
0.067261124,91.25512,8.74488,0,0,0
0.067543734,86.30576,10.0451,0.769488,0.316945,2.562702
0.067826344,93.30789,5.909142,0,0.782968,0
0.068108953,89.93489,7.643635,0.308444,1.418347,0.694686
0.068391563,88.88238,7.491534,1.149688,1.333852,1.142549
0.068674173,87.07099,10.73937,0,2.18964,0
0.068956783,88.78425,8.147054,2.173877,0.894823,0
0.069239392,88.73515,7.449082,0.621584,0,3.194184
0.069522002,91.87597,7.823645,0,0.300389,0
0.069804612,89.75316,6.546539,0,1.538289,2.162017
0.070087222,87.07945,8.883256,2.260281,0.792204,0.98481
0.070369831,90.66302,6.378366,1.664711,1.293899,0
0.070652441,89.20276,9.659644,1.1376,0,0
0.070935051,92.45947,4.540263,0.148184,2.489445,0.362645
0.071217661,87.01889,12.62522,0.355886,0,0
0.071500271,86.12494,11.06652,0,2.808539,0
0.07178288,87.31503,10.14563,2.320374,0.218959,0
0.07206549,89.26574,7.091806,1.797082,0.288613,1.556757
0.0723481,90.53812,9.189554,0.175249,0.097075,0
0.07263071,92.61469,6.623541,0.761767,0,0
0.072913319,93.35834,5.444042,0,0.571166,0.626458
0.073195929,86.36094,11.82336,0,0.537498,1.278199
0.073478539,88.28425,9.545387,0,2.170366,0
0.073761149,91.79282,4.293517,1.100935,0.312093,2.500628
0.074043758,91.7544,7.859412,0,0.386188,0
0.074326368,88.04866,6.610197,1.780522,0,3.560625
0.074608978,87.50231,11.06838,1.397487,0,0.03182
0.074891588,92.04244,5.271879,0.425021,1.550957,0.709698
0.075174197,89.06885,8.547041,0,0.199768,2.184345
0.075456807,91.6523,6.82235,0,0,1.525353
0.075739417,89.22642,8.752697,0.146696,1.874187,0
0.076022027,90.43363,9.566367,0,0,0
0.076304637,91.01986,7.856487,0.036237,1.087413,0
0.076587246,85.47042,8.114223,1.43502,2.557789,2.422547
0.076869856,97.20798,2.79202,0,0,0
0.077152466,88.125,9.085014,2.314715,0.475271,0
0.077435076,90.74444,8.591187,0.564058,0.100316,0
0.077717685,89.65734,10.24811,0,0.094554,0
0.078000295,91.16071,7.349859,0,0.606823,0.882604
0.078282905,91.26083,8.739177,0,0,0
0.078565515,88.10642,8.207885,0,3.685696,0
0.078848124,89.69394,10.30606,0,0,0
0.079130734,86.73421,8.928767,0.820624,1.447458,2.068943
0.079413344,89.78145,7.151141,0.579372,2.271956,0.216079
0.079695954,90.43959,7.79341,0.02341,0.620395,1.123194
0.079978563,94.04986,4.718533,0.271017,0,0.960591
0.080261173,91.80462,6.299527,1.44713,0.448721,0
0.080543783,88.69128,9.976393,0,0,1.332325
0.080826393,88.87359,9.427102,1.164371,0,0.534938
0.081109003,93.26661,3.396339,0,1.73958,1.597472
0.081391612,92.59628,7.403722,0,0,0
0.081674222,92.70541,6.359324,0,0.76735,0.16791
0.081956832,90.21935,9.337713,0,0,0.442939
0.082239442,91.41563,6.83877,1.745593,0,0
0.082522051,91.51822,4.55504,0.347077,2.825447,0.754219
0.082804661,93.26288,4.67878,1.619063,0,0.439277
0.083087271,92.25859,7.741409,0,0,0
0.083369881,90.97107,8.187251,0,0,0.841679
0.08365249,90.36983,9.142288,0,0.479266,0.008611
0.0839351,89.10436,7.043893,1.336207,2.133996,0.38154
0.08421771,84.82359,14.42596,0.338875,0,0.411571
0.08450032,88.65006,10.11119,0,0.771525,0.467217
0.084782929,92.78648,7.213518,0,0,0
0.085065539,90.27633,7.265117,0.199066,0,2.259491
0.085348149,90.57398,7.00667,0,0.635736,1.783612
0.085630759,91.30513,8.082692,0.612174,0,0
0.085913369,88.8443,6.459555,2.864914,0,1.831234
0.086195978,93.13252,6.613142,0.254333,0,0
0.086478588,88.99714,8.324219,0,1.103285,1.575357
0.086761198,90.61397,6.881474,0.837959,1.306269,0.360328
0.087043808,91.23277,8.767235,0,0,0
0.087326417,91.59618,7.278798,0.498355,0.432312,0.194356
0.087609027,92.58469,6.54748,0,0.867825,0
0.087891637,89.64601,7.149919,0.298594,2.881774,0.0237
0.088174247,88.40066,9.366481,0,2.232863,0
0.088456856,91.33341,8.666585,0,0,0
0.088739466,88.44276,8.000645,0,0,3.556595
0.089022076,88.54475,9.384677,0.378337,0,1.69224
0.089304686,89.38777,7.556727,0,0.81771,2.237794
0.089587295,88.08617,8.150096,0,3.084245,0.679496
0.089869905,91.69335,7.440357,0,0.866288,0
0.090152515,89.68134,8.397606,0.124902,1.53474,0.261406
0.090435125,87.86338,9.845354,1.174709,0.561982,0.554579
0.090717735,92.49248,7.507523,0,0,0
0.091000344,85.80331,11.45677,1.659143,1.080772,0
0.091282954,91.54665,8.092572,0,0.360771,0
0.091565564,94.00954,4.875618,0,1.114845,0
0.091848174,89.1186,9.5979,0,1.283498,0
0.092130783,89.86749,8.516707,0,0.520703,1.095093
0.092413393,92.13398,5.035867,0.658166,0.575122,1.596865
0.092696003,90.35889,7.188622,1.631418,0,0.821066
0.092978613,88.97104,8.33247,0.895385,1.027702,0.773402
0.093261222,88.80302,11.06414,0.132838,0,0
0.093543832,92.51855,6.104585,0.192416,1.184448,0
0.093826442,88.56819,8.479891,1.545202,0,1.406718
0.094109052,86.79225,9.937444,1.412311,0.728501,1.129494
0.094391661,93.22448,6.097331,0.678186,0,0
0.094674271,89.30143,7.852859,0.30834,0.675157,1.862214
0.094956881,87.76238,10.31777,1.615307,0.304536,0
0.095239491,94.26278,4.933411,0,0.803811,0
0.095522101,88.62652,11.26123,0,0.112252,0
0.09580471,89.25815,7.71882,2.083332,0,0.939701
0.09608732,88.66737,7.869298,1.838673,1.624664,0
0.09636993,87.55887,10.29758,0,2.143545,0
0.09665254,90.92684,8.756773,0.227747,0.088635,0
0.096935149,89.3215,8.712915,0.383548,1.582031,0
0.097217759,92.97635,6.041592,0,0,0.98206
0.097500369,88.36664,8.206915,0,1.988561,1.437888
0.097782979,87.65656,8.091578,0.935324,1.402799,1.913732
0.098065588,92.65219,6.570136,0,0.777673,0
0.098348198,90.75351,6.569492,0,1.417171,1.25983
0.098630808,92.11139,7.11455,0.43002,0,0.344044
0.098913418,89.00135,6.438923,0.961367,1.845615,1.752747
0.099196027,88.65188,9.313638,0,2.034487,0
0.099478637,94.22214,4.721943,0.009351,1.046572,0
0.099761247,83.80965,11.93155,4.114088,0,0.144711
0.100043857,89.95937,9.98218,0,0,0.058444
0.100326467,89.45455,10.16517,0.128423,0,0.251857
0.100609076,92.52625,6.939141,0.473989,0.06062,0
0.100891686,91.67274,7.522742,0,0,0.804518
0.101174296,92.47313,6.522248,1.004624,0,0
0.101456906,88.26213,7.156641,1.109987,1.70825,1.762993
0.101739515,90.48714,6.690564,0,2.822301,0
0.102022125,91.72319,8.276808,0,0,0
0.102304735,91.87984,8.037388,0,0.082764,0
0.102587345,87.14027,10.98235,0.809986,0.106394,0.961002
0.102869954,87.53551,9.436858,1.995524,1.032106,0
0.103152564,88.48247,9.134132,1.846653,0.536747,0
0.103435174,89.00333,9.240565,0.007328,1.74878,0
0.103717784,91.06918,8.855658,0.07517,0,0
0.104000393,93.46873,6.531275,0,0,0
0.104283003,90.10258,8.991924,0.905495,0,0
0.104565613,91.22434,5.529371,0,2.284942,0.961347
